Date,Total Equity,Domestic Equity,World Equity,Hybrid,Total Bond,Taxable Bond,Municipal Bond,Total
05/12/2012,-7426,-6060,-1367,-74,5317,4210,1107,-2183
12/12/2012,-8783,-7520,-1263,123,1818,1598,219,-6842
19/12/2012,-5496,-5470,-26,-73,103,3472,-3369,-5466
26/12/2012,-4451,-4076,-375,550,2610,3333,-722,-1291
02/01/2013,-11156,-9622,-1533,-158,2383,2103,280,-8931
09/01/2013,14817,7995,6821,2888,9766,7311,2455,27471
02/04/2014,3155,938,2217,265,3379,3129,250,6799
09/04/2014,5761,2080,3681,1482,1609,1448,161,8852
16/04/2014,2286,634,1652,1186,633,604,29,4105
23/04/2014,3530,1392,2138,1239,1984,1453,531,6753
30/04/2014,-3890,-3996,106,759,888,559,329,-2242
07/05/2014,632,-2006,2639,-340,5493,4417,1076,5785
14/05/2014,-1079,-2321,1242,1188,4037,3141,897,4146
21/05/2014,697,-1790,2487,1216,2196,1398,798,4109
28/05/2014,-2453,-2603,150,1108,2041,1236,805,696
04/06/2014,2098,-1148,3246,1123,188,-470,658,3409
11/06/2014,1236,-1840,3075,1159,2112,1587,524,4506
18/06/2014,-922,-2204,1282,1060,4159,3740,419,4297
25/06/2014,-93,-1354,1262,1246,3256,2694,562,4409
02/07/2014,-7835,-8887,1052,636,2979,2704,276,-4220
09/07/2014,666,-1070,1736,1006,2721,3203,-482,4393
30/07/2014,118,-1171,1290,1024,1806,1119,687,2949
06/08/2014,-471,-3073,2602,-375,-8193,-8658,465,-9040
13/08/2014,320,-974,1294,496,1436,539,897,2252
20/08/2014,2671,738,1933,821,4999,4185,814,8490
27/08/2014,-577,-2199,1623,943,3655,2921,734,4021
03/09/2014,-4024,-5305,1281,544,2430,1768,661,-1050
10/09/2014,1257,-1291,2548,1055,1554,711,843,3866
05/11/2014,-32,-1634,1602,-176,5813,5284,529,5604
12/11/2014,1464,61,1403,963,3596,2703,893,6023
19/11/2014,-3010,-3622,611,99,2529,1758,771,-383
25/11/2014,-1175,-2044,869,-157,2590,1821,769,1258
07/01/2015,-3913,-5438,1525,-1057,-3403,-4729,1326,-8373
14/01/2015,1774,-37,1811,248,3549,2582,967,5572
21/01/2015,1267,856,411,790,1258,220,1038,3315
28/01/2015,4343,3455,888,1748,5964,4689,1275,12055
04/02/2015,4240,3536,703,793,3237,2274,963,8270
11/02/2015,1268,-27,1296,959,5862,5169,693,8089
04/03/2015,999,-1933,2932,528,4984,4309,675,6511
11/03/2015,3911,-7,3918,851,1298,999,298,6059
18/03/2015,1948,-1758,3706,912,452,258,194,3312
25/03/2015,-1167,-4478,3311,538,2404,1701,703,1775
01/04/2015,-1527,-3307,1780,720,-1296,-1392,96,-2103
08/04/2015,1906,-1321,3227,250,1719,1906,-187,3875
